"id","title","handle_PID","document_link","language_ISO_639_1","year","image_link","file_extension","filename","pdf_id","filenameid","error_download","error_txt_write"
1,"Regional Action Plan for Sustainable Consumption and Production in the Mediterranean",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/Regional-Action-Plan-English-1.pdf","en",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/Regional-Action-Plan.png","pdf","Regional-Action-Plan-English-1.pdf",1,"UNEP_0001_II",NA,"OK"
2,"Regional Action Plan for Sustainable Consumption and Production in the Mediterranean",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/SCPRAP_fr_2017.pdf","fr",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/Regional-Action-Plan.png","pdf","SCPRAP_fr_2017.pdf",2,"UNEP_0002_II",NA,NA
3,"The set of regional policy measures to support green and circular businesses in the Mediterranean",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/switchmed_set_of_regional_measures_rac_scp-3.pdf","en",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/switchmed_set_of_regional_measures_rac_scp.png","pdf","switchmed_set_of_regional_measures_rac_scp-3.pdf",3,"UNEP_0003_II",NA,"OK"
4,"The set of regional policy measures to support green and circular businesses in the Mediterranean",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/SwitchMed_Set-of-Regional-Measures_SCPRAC_fr.pdf","fr",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/switchmed_set_of_regional_measures_rac_scp.png","pdf","SwitchMed_Set-of-Regional-Measures_SCPRAC_fr.pdf",4,"UNEP_0004_II",NA,NA
5,"Open Eco-Innovation manual for Circular Economy enablers",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/MANUAL_Open-Eco-innovation.pdf","en",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/04/MANUAL_Open-Eco-innovation.png","pdf","MANUAL_Open-Eco-innovation.pdf",5,"UNEP_0005_II",NA,"OK"
6,"Circular Business Opportunities in the South Mediterranean: How Can Businesses Lead the Way to Sustainable Fashion?",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/Circular-business-opportunities-in-SouthMed_Fashion.pdf","en",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/Circular-business-opportunities-in-SouthMed_Fashion.png","pdf","Circular-business-opportunities-in-SouthMed_Fashion.pdf",6,"UNEP_0006_II",NA,"OK"
7,"Guidelines to tackle single-use plastic products in the Mediterranean region",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/211203_guidelines_eng-4_2022.pdf","en",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/211203_guidelines.png","pdf","211203_guidelines_eng-4_2022.pdf",7,"UNEP_0007_II",NA,"OK"
8,"Guidelines to tackle single-use plastic products in the Mediterranean region",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/211214_guidelines_fr-5_comprimido.pdf","fr",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/211203_guidelines.png","pdf","211214_guidelines_fr-5_comprimido.pdf",8,"UNEP_0008_II",NA,NA
9,"Guidelines to address single-use plastics through public procurement in the Mediterranean",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/200221_guidelines_en_0-5.pdf","en",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/200221_guidelines.png","pdf","200221_guidelines_en_0-5.pdf",9,"UNEP_0009_II",NA,"OK"
10,"Guidelines to address single-use plastics through public procurement in the Mediterranean",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/200908_guidelines_fr_online-4.pdf","fr",NA,"https://www.medwaves-centre.org/wp-content/uploads/2022/05/200221_guidelines.png","pdf","200908_guidelines_fr_online-4.pdf",10,"UNEP_0010_II",NA,NA
